,title,genre,rating,rating_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
538,The talking Horse and Other Stories,Humor,3.86,14,0.08320000022649765,0.14190000295639038,0.0560000017285347,0.1151999980211258,0.19249999523162842,0.125,0.06419999897480011,0.22190000116825104
539,King Solomon's Mines,Movie Books,3.8,1,0.0934000015258789,0.13570000231266022,0.05860000103712082,0.15000000596046448,0.16359999775886536,0.131400004029274,0.07180000096559525,0.19539999961853027
540,Moonfleet,Movie Books,3.94,1,0.08799999952316284,0.1298000067472458,0.06599999964237213,0.1412000060081482,0.17949999868869781,0.17260000109672546,0.053599998354911804,0.16949999332427979
541,No Hero,Detective Fiction,4.49,1,0.07050000131130219,0.1525000035762787,0.05220000073313713,0.10180000215768814,0.21289999783039093,0.1136000007390976,0.07100000232458115,0.22550000250339508
542,Der Fall Deruga,Detective Fiction,3.18,39,0.007199999876320362,0.01080000028014183,0.0215000007301569,0.5170000195503235,0.014499999582767487,0.37689998745918274,0.0031999999191612005,0.04879999905824661
543,A Thief in the Night: a Book of Raffles' Adventures,Detective Fiction,3.7,305,0.09260000288486481,0.1340000033378601,0.065700002014637,0.12919999659061432,0.17309999465942383,0.1251000016927719,0.07180000096559525,0.2087000012397766
544,Arsene Lupin,Detective Fiction,4.12,112,0.09510000050067902,0.13249999284744263,0.05950000137090683,0.12919999659061432,0.17980000376701355,0.15839999914169312,0.07129999995231628,0.17419999837875366
545,The Shadow of the Rope,Detective Fiction,3.55,49,0.08240000158548355,0.1395999938249588,0.057999998331069946,0.10970000177621841,0.1835000067949295,0.12559999525547028,0.07540000230073929,0.2257000058889389
546,Mr. Justice Raffles,Detective Fiction,3.65,195,0.09709999710321426,0.14090000092983246,0.06499999761581421,0.13899999856948853,0.1534000039100647,0.13680000603199005,0.07020000368356705,0.19750000536441803
547,"Raffles, Further Adventures",Detective Fiction,3.77,352,0.09399999678134918,0.1289999932050705,0.06430000066757202,0.1363999992609024,0.16519999504089355,0.12890000641345978,0.0722000002861023,0.20999999344348907
548,The Amateur Cracksman,Detective Fiction,3.61,1,0.09269999712705612,0.14419999718666077,0.06939999759197235,0.13459999859333038,0.1597999930381775,0.12470000237226486,0.07280000299215317,0.20180000364780426
549,	An African Millionaire ,Detective Fiction,3.75,114,0.07150000333786011,0.13809999823570251,0.052299998700618744,0.09769999980926514,0.1768999993801117,0.09860000014305115,0.06350000202655792,0.30149999260902405
